Date,AMD,ANET,AVGO,AXON,CCJ,CLS,COST,CRWD,DX-Y.NYB,GOOGL,HYG,IEF,IONQ,IWM,JNJ,KO,MCD,META,MNST,MSFT,NVDA,PEP,PG,PLTR,QQQ,RKLB,SMR,SPY,TSM,VRT,VST,WMT,^GSPC,^IRX,^VIX
2015-01-02,2.6700000762939453,3.759999990463257,7.446784066332137,25.559999465942383,14.530152407129801,11.649999618530273,112.99253866913752,,90.33000183105469,26.145209618123978,48.01408620922463,81.38331018770428,,101.38165610065887,75.4547944486545,28.980206659626326,69.15571699206801,76.96287224470869,8.897500038146973,39.42084445666997,0.47422357679127164,65.60709588216771,64.69585054613808,,94.00389860628822,,,168.23752811557006,16.294670801309838,,,22.97829734608485,2046.0400390625,0.014999999664723873,17.049999237060547
2015-01-05,2.640000104904175,3.878124952316284,7.391943260182731,25.459999084472656,13.967523512233745,11.470000267028809,112.18206527366752,,91.12999725341797,25.643481324298307,47.56339610478488,81.84368834005257,,100.43571271115705,75.12868817772703,29.17433424783899,68.53884621748603,76.13084671911508,9.011667251586914,39.175182595792286,0.47159017144986937,65.37689572795594,64.6454926687443,,92.81093806755219,,,165.90573808107496,16.079874139641834,,,22.96755382832615,2017.3399658203125,0.003000000026077032,19.190000534057617
2015-01-06,2.549999952316284,3.888124942779541,7.150052845169727,24.739999771118164,14.056828267597941,11.390000343322754,112.22221631248321,,91.12000274658203,25.03923290301718,47.397091302293305,82.51125852714026,,98.34598129809383,74.59248345573995,29.285262405773715,68.28618813887134,74.64508300151968,9.105833053588867,38.573802976456044,0.45890290399807665,64.83277823274655,64.22100816748635,,91.4161396787198,,,163.85409714017257,15.6725076092447,,,23.042758363641575,1992.43994140625,0.017999999225139618,19.520000457763672
2015-01-07,2.5399999618530273,3.9987499713897705,7.251466488551395,25.219999313354492,13.958591240131064,11.300000190734863,114.236364324332,,91.6500015258789,24.945130614665498,47.68142555219091,82.45754507650655,,99.30911130915658,75.22288044796969,29.520981360028138,69.01450114786113,75.10071821334276,9.36916732788086,38.53145142586843,0.4567481853703293,65.87216413362418,64.43684962696166,,92.21444584119082,,,165.51851045850196,15.805829120048621,,,23.279127452878043,2005.550048828125,0.019999999552965164,19.040000915527344
2015-01-08,2.559999942779541,4.053500175476074,7.539180510307884,25.75,14.110413900869604,11.5,116.30665554181145,,91.94000244140625,24.517694502768023,47.74046315606494,82.34250370381223,,101.00323056532285,76.62865035228312,29.881498856397226,69.8989324832329,75.35824772044737,9.706666946411133,39.57329126606398,0.4632115596878281,67.44172282805017,64.8469467743661,,93.70107934684162,,,168.08098764725113,16.050245420606025,,,23.92375791312633,2030.6099853515625,0.014999999664723873,16.989999771118164
2015-01-09,2.5799999237060547,4.102499961853027,7.70595212355287,26.010000228881836,13.958590175561508,11.399999618530273,114.92642614632913,,91.9000015258789,24.697485896354376,47.949712447429015,82.45753580509613,,100.88285177812767,75.90403779189305,29.777491305592,68.95504704679236,76.46760919549192,9.6899995803833,39.725775995745146,0.4706327957397159,67.37893793509564,64.8397730723026,,93.61847282346922,,,167.68553267358354,15.568816741096406,,,23.97210712310513,2038.3299560546875,0.014999999664723873,16.440000534057617
2015-01-12,2.549999952316284,4.087500095367432,7.716466671582567,25.530000686645508,13.529920719162043,11.229999542236328,114.04371430983541,,91.7300033569336,24.314132046890677,48.09455249326339,82.88730453368898,,99.9540900995985,75.57796030878995,29.437786662782216,68.82126527979216,75.48700082568308,9.326666831970215,39.26837489433581,0.46704178261172047,67.09992862878666,64.40086926608305,,92.9485966777209,,,166.37543624497255,15.324393440369523,,,23.96404117677162,2022.5799560546875,0.009999999776482582,18.020000457763672
2015-01-13,2.5999999046325684,4.000625133514404,7.642099432722345,25.399999618530273,13.101250414617663,11.520000457763672,112.65555172775153,,91.80999755859375,24.628640791686983,48.04090030790407,82.96404682501203,,99.60151373685058,75.53449462762283,29.430857254634173,68.68750664864908,75.13042503414054,9.33666706085205,39.01424767823575,0.4672812547145672,66.84181769092619,64.58795365058617,,92.40717381321029,,,165.21356831758087,15.546598131602481,,,23.886148128569058,2008.25,0.019999999552965164,17.649999618530273
2015-01-14,2.5799999237060547,4.0,7.512889211905882,25.1200008392334,12.529689007417584,11.399999618530273,110.93029026245915,,91.61000061035156,24.673221412581594,47.938962005994235,83.54717043666481,,99.36932234437394,75.00552531249447,29.167395075834644,67.72133838381811,75.30872239155156,9.458333015441895,38.64157081531791,0.4644086386892555,66.59067099273929,64.34331503854239,,91.82906082304885,,,163.61510506928573,15.257739766425788,,,23.233466688600235,1988.43994140625,0.023000000044703484,21.31999969482422
2015-01-15,2.490000009536743,3.9384379386901855,7.591017368843028,25.209999084472656,12.476103354607927,11.40999984741211,111.23521183085222,,91.51000213623047,24.86390531632037,47.86387800023571,83.59318002522186,,98.44916502215116,73.87509202457254,29.23673356711915,67.60983752648043,72.84233224983568,9.638333320617676,38.46369161788045,0.4689570416693543,67.2324402779867,64.27854557614103,,91.33355184248248,,,163.87056126040977,16.228008169992773,,,23.287182486770106,1991.469970703125,0.019999999552965164,20.860000610351562
2015-01-16,2.390000104904175,3.887500047683716,7.535427287851176,24.969999313354492,12.485035286518615,11.380000114440918,110.91418878322065,,92.08000183105469,24.9173891830267,47.9282293287384,83.68526479554903,,98.20837847816917,73.91131466918281,29.285259859910045,67.43891479311445,73.1394750306756,9.657500267028809,38.26039132489493,0.4670418736423749,67.20454737189912,64.65992480008991,,91.17753023901554,,,163.59857954528306,16.509460804767105,,,23.160938818763224,1988.1199951171875,0.014999999664723873,20.950000762939453
2015-01-20,2.190000057220459,3.998500108718872,7.7059493880749645,25.25,12.529687559103962,11.289999961853027,111.02652505272383,,92.55000305175781,25.22843331094465,47.89066150900387,83.7620335940908,,99.03391198141237,72.65049195404453,29.54178535148259,67.05986797473855,74.11021168861807,9.745833396911621,38.59920838217841,0.4732659687791951,67.54635380320494,65.11318954029197,,92.0309602556134,,,164.93344108813844,16.64278888346,,,22.978302857916177,2004.489990234375,0.00800000037997961,19.579999923706055
