symbol,name,sector,industry,market_cap
REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,Biotechnology,Large Cap
RELY,Remitly Global Inc. Common Stock,Information Technology,Software,Mid Cap
REPL,"Replimune Group, Inc.",Health Care,Biotechnology,Small Cap
REPX,"Riley Exploration Permian, Inc.",Energy,"Oil, Gas & Consumable Fuels",Small Cap
RES,"RPC, Inc.",Energy,Energy Equipment & Services,Small Cap
REX,American Resources Corporation,Materials,Metals & Mining,Small Cap
REYN,Reynolds Consumer Products Inc,Consumer Discretionary,Distributors,Mid Cap
REZI,"Resideo Technologies, Inc.",Industrials,Professional Services,Mid Cap
RGEN,Repligen Corporation,Health Care,Health Care Equipment & Supplies,Mid Cap
RGLD,"Royal Gold, Inc.",Materials,Metals & Mining,Large Cap
RGNX,REGENXBIO Inc.,Health Care,Biotechnology,Small Cap
RGR,"Sturm, Ruger & Company, Inc.",Industrials,Aerospace & Defense,Small Cap
RGTI,Rigetti Computing Inc. Common Stock,Information Technology,Software,Mid Cap
RGTIW,Rigetti Computing Inc. Warrants,Information Technology,Software,Mid Cap
RH,RH,Consumer Discretionary,Specialty Retail,Mid Cap
RHI,Robert Half International Inc.,Industrials,Professional Services,Mid Cap
RIGL,"Rigel Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
RIOT,"Riot Platforms, Inc.",Information Technology,Software,Mid Cap
RIVN,Rivian Automotive Inc. Class A Common Stock,Consumer Discretionary,Automobiles,Large Cap
RJET,Republic Airways Holdings Inc. Common Stock,Industrials,Airlines,Small Cap
RKLB,Rocket Lab USA Inc. Common Stock,Industrials,Aerospace & Defense,Large Cap
RL,Ralph Lauren Corporation Class A,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
RLAY,"Relay Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
RLGT,"Radiant Logistics, Inc.",Industrials,Air Freight & Logistics,Small Cap
RLMD,Relmada Therapeutics Inc,Health Care,Pharmaceuticals,Small Cap
RMBS,Rambus Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
RMD,ResMed Inc.,Health Care,Health Care Equipment & Supplies,Large Cap
RMIX,Suncrete Inc. Class A Common Stock,Materials,Construction Materials,Small Cap
RMNI,"Rimini Street, Inc.",Information Technology,Software,Small Cap
RNA,"Atrium Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
RNG,"RingCentral, Inc. Class A",Information Technology,Software,Mid Cap
RNGR,"Ranger Energy Services, Inc.",Energy,Energy Equipment & Services,Small Cap
ROAD,"Construction Partners, Inc. Class A",Industrials,Construction & Engineering,Mid Cap
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products,Small Cap
ROG,Rogers Corporation,Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
ROK,"Rockwell Automation, Inc.",Industrials,Machinery,Large Cap
ROKU,"Roku, Inc. Class A",Communication Services,Entertainment,Large Cap
ROL,"Rollins, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
ROP,"Roper Technologies, Inc.",Industrials,Machinery,Large Cap
ROST,"Ross Stores, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
RPD,"Rapid7, Inc.",Information Technology,Software,Small Cap
RPM,RPM International Inc.,Materials,Chemicals,Large Cap
RPRX,Royalty Pharma Plc Class A,Health Care,Biotechnology,Large Cap
RR,Richtech Robotics Inc. Class B Common Stock,Industrials,Machinery,Small Cap
RRC,Range Resources Corporation,Energy,"Oil, Gas & Consumable Fuels",Mid Cap
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
RRX,Regal Rexnord Corporation Common Stock,Energy,Energy Equipment & Services,Large Cap
RS,Reliance Steel & Aluminum Co.,Materials,Metals & Mining,Large Cap
RSG,"Republic Services, Inc.",Industrials,Transportation Infrastructure,Large Cap
RSI,"Rush Street Interactive, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
RSVR,Reservoir Media Inc. Common Stock,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
RTX,RTX Corporation,Industrials,Aerospace & Defense,Mega Cap
RUM,Rumble Inc. Class A Common Stock,Information Technology,Software,Mid Cap
RUMBW,Rumble Inc. Warrant,Information Technology,Software,Small Cap
RUN,Sunrun Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Mid Cap
RUSHA,"Rush Enterprises, Inc.",Consumer Discretionary,Automobiles,Mid Cap
RUSHB,"Rush Enterprises, Inc.",Consumer Discretionary,Automobiles,Mid Cap
RVLV,"Revolve Group, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,Mid Cap
RVMD,"Revolution Medicines, Inc.",Health Care,Biotechnology,Large Cap
RVTY,Revvity Inc. Common Stock,Health Care,Biotechnology,Large Cap
RXO,RXO Inc. Common Stock,Industrials,Road & Rail,Mid Cap
RXRX,"Recursion Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
RXST,RxSight Inc. Common Stock,Health Care,Health Care Technology,Small Cap
RXT,"Rackspace Technology, Inc.",Information Technology,Software,Small Cap
RYAM,Rayonier Advanced Materials Inc,Materials,Chemicals,Small Cap
RYTM,"Rhythm Pharmaceuticals, Inc.",Consumer Discretionary,Specialty Retail,Mid Cap
RYZ,Ryerson Holding Corporation Common Stock,Energy,Energy Equipment & Services,Small Cap
RZLT,"Rezolute, Inc.",Health Care,Biotechnology,Small Cap
S,SentinelOne Inc. Class A Common Stock,Information Technology,Software,Mid Cap
SABR,Sabre Corporation,Information Technology,IT Services,Small Cap
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automobiles,Mid Cap
SAIA,"Saia, Inc.",Industrials,Transportation Infrastructure,Large Cap
SAIC,Science Applications International Corporation,Information Technology,IT Services,Mid Cap
SAM,"Boston Beer Company, Inc. Class A",Consumer Staples,Beverages,Mid Cap
SANA,"Sana Biotechnology, Inc.",Health Care,Biotechnology,Small Cap
SANM,Sanmina Corporation,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
SARO,StandardAero Inc. Common Stock,Industrials,Aerospace & Defense,Large Cap
SATS,EchoStar Corporation,Information Technology,Communications Equipment,Large Cap
SBC,SBC Medical Group Holdings Incorporated Common Stock,Health Care,Health Care Equipment & Supplies,Small Cap
SBGI,"Sinclair Broadcast Group, Inc.",Communication Services,Media,Small Cap
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Retail,Small Cap
SBMT,Silver Bow Mining Corp. Common Shares,Materials,Metals & Mining,Small Cap
SBR,Sabine Royalty Trust,Energy,"Oil, Gas & Consumable Fuels",Small Cap
SBTX,"Silverback Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
SBUX,Starbucks Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
SCCO,Southern Copper Corporation,Materials,Metals & Mining,Large Cap
SCHL,Scholastic Corporation,Communication Services,Diversified Telecommunication Services,Small Cap
SCHN,"Schnitzer Steel Industries, Inc.",Materials,Metals & Mining,Small Cap
SCI,Service Corporation International,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
SCL,Stepan Company,Materials,Chemicals,Small Cap
SCSC,"ScanSource, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
SCTX,Scribe Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
SCVL,"Shoe Carnival, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
SD,"SandRidge Energy, Inc.",Energy,"Oil, Gas & Consumable Fuels",Small Cap
SDGR,"Schrödinger, Inc.",Health Care,Health Care Providers & Services,Small Cap
SDHC,Smith Douglas Homes Corp. Class A Common Stock,Industrials,,Small Cap
SEB,Seaboard Corporation,Industrials,Industrial Conglomerates,Mid Cap
SEI,Solaris Energy Infrastructure Inc. Class A Common Stock,Energy,Energy Equipment & Services,Mid Cap
SEM,Select Medical Holdings Corporation,Health Care,Health Care Equipment & Supplies,Small Cap
SEMR,"SEMrush Holdings, Inc.",Information Technology,Software,Small Cap
SENEA,Seneca Foods Corporation,Consumer Staples,Food & Staples Retailing,Small Cap
SENEB,Seneca Foods Corporation,Consumer Staples,Food & Staples Retailing,Small Cap
SENS,"Senseonics Holdings, Inc.",Health Care,Biotechnology,Small Cap
SEPN,Septerna Inc. Common Stock,Health Care,Biotechnology,Small Cap
SERV,Serve Robotics Inc. Common Stock,Materials,Chemicals,Small Cap
SFD,Smithfield Foods Inc. Common Stock,Consumer Staples,Food & Staples Retailing,Mid Cap
SFIX,"Stitch Fix, Inc.",Consumer Discretionary,Specialty Retail,Small Cap
SFM,"Sprouts Farmers Market, Inc.",Consumer Staples,Food & Staples Retailing,Mid Cap
SG,Sweetgreen Inc. Class A Common Stock,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
SGH,"SMART Global Holdings, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
SGI,Somnigroup International Inc. Common Stock,Consumer Discretionary,Household Durables,Large Cap
SGMS,Scientific Games Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
SGP,SpyGlass Pharma Inc. Common Stock,Health Care,Health Care Technology,Small Cap
SGRY,"Surgery Partners, Inc.",Health Care,Health Care Equipment & Supplies,Mid Cap
SGU,"Star Group, L.P.",Energy,"Oil, Gas & Consumable Fuels",Small Cap
SHAK,Shake Shack Inc.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
SHC,Sotera Health Company,Health Care,Biotechnology,Mid Cap
SHEN,Shenandoah Telecommunications Company,Communication Services,Diversified Telecommunication Services,Small Cap
SHLS,"Shoals Technologies Group, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Small Cap
SHOE,Shoe Station Group Inc. Common Stock,Consumer Discretionary,Specialty Retail,Small Cap
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
SHW,Sherwin-Williams Company,Materials,Chemicals,Large Cap
SIGA,"SIGA Technologies, Inc.",Health Care,Biotechnology,Small Cap
SION,Sionna Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
SIRI,Sirius XM Holdings Inc.,Communication Services,Media,Mid Cap
SITM,SiTime Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
SJM,J.M. Smucker Company,Consumer Staples,Food & Staples Retailing,Large Cap
SKY,"Champion Homes, Inc.",Industrials,Construction & Engineering,Mid Cap
SKYH,Sky Harbour Group Corporation Class A Common Stock,Industrials,Aerospace & Defense,Small Cap
SKYT,"SkyWater Technology, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
SKYW,"SkyWest, Inc.",Industrials,Airlines,Mid Cap
SLAB,Silicon Laboratories Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
SLB,Slb N.V.,Energy,Energy Equipment & Services,Large Cap
SLDB,Solid Biosciences Inc.,Health Care,Pharmaceuticals,Small Cap
SLDP,Solid Power Inc. Class A Common Stock,Industrials,Electrical Equipment,Small Cap
SLGN,Silgan Holdings Inc.,Consumer Discretionary,Distributors,Mid Cap
SLNHP,Soluna Holdings Inc 9.0% Series A Cumulative Perpetual Preferred Stock ,Information Technology,Software,Small Cap
SLS,"SELLAS Life Sciences Group, Inc.",Health Care,Biotechnology,Small Cap
SLVM,Sylvamo Corporation Common Stock,Materials,Paper & Forest Products,Small Cap
SM,SM Energy Company,Energy,"Oil, Gas & Consumable Fuels",Mid Cap
SMC,Summit Midstream Corporation Common Stock,Energy,"Oil, Gas & Consumable Fuels",Small Cap
SMCI,"Super Micro Computer, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
SMCIP,Super Micro Computer Inc. Depositary Shares representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
SMG,The Scotts Miracle-Gro Company,Materials,Construction Materials,Mid Cap
SMMT,Summit Therapeutics Inc.,Health Care,Biotechnology,Large Cap
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Auto Components,Small Cap
SMPL,The Simply Good Foods Company,Consumer Staples,Food & Staples Retailing,Small Cap
SMR,NuScale Power Corporation Class A Common Stock,Industrials,Electrical Equipment,Mid Cap
SMTC,Semtech Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
SNA,Snap-on Incorporated,Industrials,Building Products,Large Cap
SNAP,Snap Inc.,Communication Services,Diversified Telecommunication Services,Mid Cap
SNDA,Sonida Senior Living Inc. Common Stock,Health Care,Health Care Equipment & Supplies,Small Cap
SNDK,Sandisk Corporation Common Stock,Information Technology,"Electronic Equipment, Instruments & Components",Large Cap
SNDR,"Schneider National, Inc.",Industrials,Transportation Infrastructure,Mid Cap
SNDX,Syndax Pharmaceuticals Inc,Health Care,Biotechnology,Small Cap
SNOW,"Snowflake, Inc.",Information Technology,Software,Large Cap
SNPS,"Synopsys, Inc.",Information Technology,Software,Large Cap
SNX,TD SYNNEX Corporation,Information Technology,IT Services,Large Cap
SOLV,Solventum Corporation Common Stock,Health Care,Health Care Technology,Large Cap
SOMN,Southern Company (The) 2025 Series A Corporate Units,Materials,Metals & Mining,Large Cap
SON,Sonoco Products Company,Consumer Discretionary,Distributors,Mid Cap
SONO,"Sonos, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
SOUN,SoundHound AI Inc Class A Common Stock,Information Technology,Software,Mid Cap
SOUNW,SoundHound AI Inc. Warrant,Information Technology,Software,Small Cap
SPB,"Spectrum Brands Holdings, Inc.",Consumer Staples,Household Products,Small Cap
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Industrials,Aerospace & Defense,Mega Cap
SPHR,Sphere Entertainment Co.,Consumer Discretionary,,Mid Cap
SPRY,ARS Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology,Small Cap
SPSC,"SPS Commerce, Inc.",Information Technology,Software,Mid Cap
SPT,"Sprout Social, Inc.",Information Technology,Software,Small Cap
SPTX,Seaport Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
SPXC,SPX Corporation,Industrials,Machinery,Large Cap
SRPT,"Sarepta Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
SRRK,Scholar Rock Holding Corporation,Health Care,Biotechnology,Mid Cap
SRTA,Strata Critical Medical Inc. Class A Common Stock,Health Care,Health Care Providers & Services,Small Cap
SSD,"Simpson Manufacturing Co., Inc.",Industrials,Building Products,Mid Cap
SSNC,"SS&C Technologies Holdings, Inc.",Industrials,Construction & Engineering,Large Cap
SSP,E. W. Scripps Company Class A,Communication Services,Media,Small Cap
SSTK,"Shutterstock, Inc.",Communication Services,Diversified Telecommunication Services,Small Cap
SSYS,Stratasys Ltd.,Information Technology,"Technology Hardware, Storage & Peripherals",Small Cap
ST,Sensata Technologies Holding plc,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
STAA,STAAR Surgical Company,Health Care,Health Care Equipment & Supplies,Small Cap
STAY,"Extended Stay America, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
STLD,"Steel Dynamics, Inc.",Materials,Metals & Mining,Large Cap
STLN,Starling Oncology Inc. Common Stock,Health Care,Health Care Equipment & Supplies,Small Cap
STMP,Stamps.com Inc.,Information Technology,Software,Mid Cap
STOK,"Stoke Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
STRA,"Strategic Education, Inc.",Consumer Staples,Household Products,Small Cap
STRD,Strategy Inc,Information Technology,Software,Large Cap
STRF,MicroStrategy Incorporated 10.00% Series A Perpetual Strife Preferred Stock,Information Technology,Software,Large Cap
STRK,Strategy Inc,Information Technology,Software,Large Cap
STRL,"Sterling Construction Company, Inc.",Industrials,Construction & Engineering,Large Cap
STRO,"Sutro Biopharma, Inc.",Health Care,Biotechnology,Small Cap
STRT,Strattec Security Corporation,Consumer Discretionary,Auto Components,Small Cap
STUB,StubHub Holdings Inc. Class A Common Stock,Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
STZ,"Constellation Brands, Inc.",Consumer Staples,Beverages,Large Cap
SUJA,Suja Life Inc. Class A Common Stock,Consumer Staples,Beverages,Small Cap
SUN,Sunoco LP,Energy,"Oil, Gas & Consumable Fuels",Large Cap
SUNB,Sunbelt Rentals Holdings Inc. Common Stock,Industrials,Professional Services,Large Cap
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,Mid Cap
SVMK,SVMK Inc.,Information Technology,Software,Mid Cap
SVRA,Savara Inc.,Health Care,Biotechnology,Small Cap
SVV,Savers Value Village Inc. Common Stock,Consumer Discretionary,Automobiles,Small Cap
SWAV,"SHOCKWAVE MEDICAL, INC.",Health Care,Health Care Technology,Large Cap
SWBI,"Smith & Wesson Brands, Inc.",Industrials,Aerospace & Defense,Small Cap
SWIM,"Latham Group, Inc.",Industrials,Building Products,Small Cap
SWK,"Stanley Black & Decker, Inc.",Industrials,Building Products,Large Cap
SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
SWMR,Swarmer Inc Common Stock,Information Technology,Software,Small Cap
SWRD,Stewards Inc Common Stock,,,Small Cap
SXC,"SunCoke Energy, Inc.",Materials,Metals & Mining,Small Cap
SXI,Standex International Corporation,Industrials,Machinery,Mid Cap
SXT,Sensient Technologies Corporation,Materials,Chemicals,Mid Cap
SYK,Stryker Corporation,Health Care,Health Care Technology,Large Cap
SYKE,"Sykes Enterprises, Incorporated",Information Technology,IT Services,Small Cap
SYNA,Synaptics Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
SYRE,Spyre Therapeutics Inc. Common Stock,Health Care,Biotechnology,Mid Cap
SYY,Sysco Corporation,Consumer Staples,Food & Staples Retailing,Large Cap
T,AT&T Inc.,Communication Services,Diversified Telecommunication Services,Large Cap
TACO,Berto Acquisition Corp.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
TALK,Talkspace Inc. Common Stock,Health Care,Health Care Providers & Services,Small Cap
TALO,Talos Energy Inc.,Energy,"Oil, Gas & Consumable Fuels",Mid Cap
TAP,Molson Coors Beverage Company,Consumer Staples,Beverages,Mid Cap
TARA,"Protara Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
TARS,"Tarsus Pharmaceuticals, Inc.",Health Care,Biotechnology,Mid Cap
TASK,TaskUs Inc. Class A Common Stock,Information Technology,Software,Small Cap
TCMD,"Tactile Systems Technology, Inc.",Health Care,Health Care Technology,Small Cap
TDAY,USA TODAY Co. Inc. Common Stock,Communication Services,Diversified Telecommunication Services,Small Cap
TDC,Teradata Corporation,Information Technology,IT Services,Mid Cap
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,Large Cap
TDOC,"Teladoc Health, Inc.",Health Care,Health Care Providers & Services,Small Cap
TDUP,ThredUp Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Small Cap
TDW,Tidewater Inc.,Energy,Energy Equipment & Services,Mid Cap
TDY,Teledyne Technologies Incorporated,Information Technology,"Electronic Equipment, Instruments & Components",Large Cap
TECH,Bio-Techne Corporation,Health Care,Biotechnology,Mid Cap
TECX,Tectonic Therapeutic Inc. Common Stock,Health Care,Biotechnology,Small Cap
TEM,Tempus AI Inc. Class A Common Stock,Communication Services,Diversified Telecommunication Services,Mid Cap
TENB,"Tenable Holdings, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,Mid Cap
TER,"Teradyne, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
TEX,Terex Corporation,Industrials,Machinery,Mid Cap
TFX,Teleflex Incorporated,Health Care,Health Care Equipment & Supplies,Mid Cap
TG,Tredegar Corporation,Materials,Chemicals,Small Cap
TGT,Target Corporation,Consumer Staples,Household Products,Large Cap
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
TH,Target Hospitality Corp.,Energy,Energy Equipment & Services,Small Cap
THC,Tenet Healthcare Corporation,Health Care,Health Care Equipment & Supplies,Large Cap
THO,"Thor Industries, Inc.",Consumer Discretionary,Automobiles,Mid Cap
THR,"Thermon Group Holdings, Inc.",Industrials,Machinery,Small Cap
THRM,Gentherm Incorporated,Consumer Discretionary,Auto Components,Small Cap
TII,Titan Mining Corporation,Materials,Metals & Mining,Small Cap
TILE,"Interface, Inc.",Consumer Discretionary,Household Durables,Small Cap
TITN,Titan Machinery Inc.,Industrials,Trading Companies & Distributors,Small Cap
TJX,TJX Companies Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
TKO,TKO Group Holdings Inc. Class A Common Stock,Communication Services,Entertainment,Large Cap
TKR,Timken Company,Industrials,Building Products,Mid Cap
TLMD,"SOC Telemed, Inc.",Health Care,Health Care Equipment & Supplies,Small Cap
TLMDW,"SOC Telemed, Inc.",Health Care,Health Care Equipment & Supplies,Small Cap
TMDX,"TransMedics Group, Inc.",Health Care,Health Care Technology,Mid Cap
TMHC,Taylor Morrison Home Corporation,Industrials,Construction & Engineering,Mid Cap
TMO,Thermo Fisher Scientific Inc.,Health Care,Biotechnology,Large Cap
TMUS,"T-Mobile US, Inc.",Communication Services,Diversified Telecommunication Services,Mega Cap
TNC,Tennant Company,Industrials,Machinery,Small Cap
TNDM,"Tandem Diabetes Care, Inc.",Health Care,Health Care Technology,Small Cap
TNET,"TriNet Group, Inc.",Industrials,Professional Services,Small Cap
TNGX,Tango Therapeutics Inc.,Health Care,Biotechnology,Small Cap
TNL,Travel + Leisure Co.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
TOL,"Toll Brothers, Inc.",Industrials,Construction & Engineering,Large Cap
TOST,Toast Inc. Class A Common Stock,Information Technology,Software,Large Cap
TPB,Turning Point Brands Inc,Consumer Staples,Tobacco,Mid Cap
TPC,Tutor Perini Corporation,Industrials,Construction & Engineering,Mid Cap
TPCO,Tribune Publishing Company,Communication Services,Diversified Telecommunication Services,Small Cap
TPL,Texas Pacific Land Corporation,Energy,"Oil, Gas & Consumable Fuels",Large Cap
TPR,"Tapestry, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
TPTX,"Turning Point Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Food & Staples Retailing,Mid Cap
TRAX,First Tracks Biotherapeutics Inc. Ordinary Shares ,Health Care,Biotechnology,Small Cap
TRAXV,First Tracks Biotherapeutics Inc. Ordinary Shares When-Issued,Health Care,Biotechnology,Small Cap
TRC,Tejon Ranch Co.,Industrials,Industrial Conglomerates,Small Cap
TRDA,Entrada Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
TREX,"Trex Company, Inc.",Industrials,Building Products,Mid Cap
TRGP,Targa Resources Corp.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
TRIP,"TripAdvisor, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
TRMB,Trimble Inc.,Information Technology,"Electronic Equipment, Instruments & Components",Large Cap
TRN,"Trinity Industries, Inc.",Industrials,Road & Rail,Mid Cap
TRNS,"Transcat, Inc.",Industrials,Trading Companies & Distributors,Small Cap
TROX,Tronox Holdings plc,Materials,Chemicals,Small Cap
TRS,TriMas Corporation,Industrials,Machinery,Small Cap
TRU,TransUnion,Industrials,Professional Services,Large Cap
TRVI,"Trevi Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,Large Cap
TSHA,"Taysha Gene Therapies, Inc.",Health Care,Biotechnology,Small Cap
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles,Mega Cap
TSN,"Tyson Foods, Inc. Class A",Consumer Staples,Household Products,Large Cap
TTAN,ServiceTitan Inc. Class A Common Stock,Information Technology,Software,Mid Cap
TTC,The Toro Company,Industrials,Building Products,Mid Cap
TTD,"The Trade Desk, Inc.",Information Technology,Software,Large Cap
TTEK,"Tetra Tech, Inc.",Industrials,Construction & Engineering,Mid Cap
TTI,"TETRA Technologies, Inc.",Energy,Energy Equipment & Services,Small Cap
TTMI,"TTM Technologies, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",Large Cap
TVTX,"Travere Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
TVTY,"Tivity Health, Inc.",Health Care,Health Care Equipment & Supplies,Small Cap
TWI,"Titan International, Inc.",Industrials,Machinery,Small Cap
TWLO,Twilio Inc.,Communication Services,Diversified Telecommunication Services,Large Cap
TWST,Twist Bioscience Corp.,Health Care,Biotechnology,Mid Cap
TXG,"10x Genomics, Inc.",Health Care,Health Care Providers & Services,Mid Cap
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
TXO,"TXO Partners, L.P.",Energy,"Oil, Gas & Consumable Fuels",Small Cap
TXRH,"Texas Roadhouse, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
TXT,Textron Inc.,Industrials,Aerospace & Defense,Large Cap
TYL,"Tyler Technologies, Inc.",Information Technology,Software,Large Cap
TYRA,Tyra Biosciences Inc. Common Stock,Health Care,Biotechnology,Small Cap
U,Unity Software Inc.,Information Technology,Software,Mid Cap
UA,"Under Armour, Inc. Class A",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
UAA,"Under Armour, Inc. Class A",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,Large Cap
UAMY,United States Antimony Corporation,Materials,Metals & Mining,Small Cap
UAN,"CVR Partners, LP",Materials,Construction Materials,Small Cap
UBER,"Uber Technologies, Inc.",Information Technology,Software,Large Cap
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
UEC,Uranium Energy Corp.,Materials,Metals & Mining,Mid Cap
UFPI,"UFP Industries, Inc.",Materials,Paper & Forest Products,Mid Cap
UFPT,"UFP Technologies, Inc.",Consumer Discretionary,Distributors,Small Cap
UHAL,U-Haul Holding Company,Industrials,Commercial Services & Supplies,Mid Cap
UHS,"Universal Health Services, Inc. Class B",Health Care,Health Care Equipment & Supplies,Large Cap
UI,Ubiquiti Inc.,Information Technology,Communications Equipment,Large Cap
ULCC,"Frontier Group Holdings, Inc.",Industrials,Airlines,Small Cap
ULH,"Universal Logistics Holdings, Inc.",Industrials,Transportation Infrastructure,Small Cap
ULS,UL Solutions Inc.,Industrials,Professional Services,Large Cap
ULTA,Ulta Beauty Inc.,Consumer Discretionary,Specialty Retail,Large Cap
UMAC,Unusual Machines Inc.,Industrials,,Small Cap
UNF,UniFirst Corporation,Industrials,Professional Services,Mid Cap
UNFI,"United Natural Foods, Inc.",Consumer Staples,Food & Staples Retailing,Mid Cap
UNH,UnitedHealth Group Incorporated,Health Care,Health Care Providers & Services,Mega Cap
UNP,Union Pacific Corporation,Industrials,Road & Rail,Large Cap
UPB,Upstream Bio Inc. Common Stock,Health Care,Biotechnology,Small Cap
UPBD,Upbound Group Inc. Common Stock,Information Technology,Software,Small Cap
UPS,"United Parcel Service, Inc.",Industrials,Air Freight & Logistics,Large Cap
UPWK,Upwork Inc.,Industrials,Professional Services,Small Cap
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
URG,Ur-Energy Inc.,Materials,Metals & Mining,Small Cap
URGN,UroGen Pharma Ltd.,Health Care,Biotechnology,Small Cap
URI,"United Rentals, Inc.",Industrials,Commercial Services & Supplies,Large Cap
USAC,"USA Compression Partners, LP",Energy,Energy Equipment & Services,Mid Cap
USAR,USA Rare Earth Inc. Class A Common Stock,Materials,Metals & Mining,Mid Cap
