symbol,name,sector,industry,market_cap
NOG,"Northern Oil and Gas, Inc.",Energy,"Oil, Gas & Consumable Fuels",Mid Cap
NOV,NOV Inc.,Energy,Energy Equipment & Services,Mid Cap
NOVT,Novanta Inc.,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
NOVTU,Novanta Inc. Tangible Equity Units,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
NOW,"ServiceNow, Inc.",Information Technology,Software,Large Cap
NPCE,"NeuroPace, Inc.",Health Care,Health Care Technology,Small Cap
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,Small Cap
NPKI,NPK International Inc. Common Stock,Energy,Energy Equipment & Services,Small Cap
NPO,"EnPro Industries, Inc.",Industrials,Machinery,Mid Cap
NPWR,NET Power Inc.,Energy,,Small Cap
NRC,NRC Health,Health Care,Biotechnology,Small Cap
NRDS,NerdWallet Inc. Class A Common Stock,Communication Services,Diversified Telecommunication Services,Small Cap
NRIX,"Nurix Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
NRP,Natural Resource Partners L.P.,Materials,Metals & Mining,Small Cap
NSC,Norfolk Southern Corporation,Industrials,Road & Rail,Large Cap
NSIT,"Insight Enterprises, Inc.",Information Technology,IT Services,Mid Cap
NSP,"Insperity, Inc.",Industrials,Professional Services,Small Cap
NSSC,"Napco Security Technologies, Inc.",Industrials,Professional Services,Small Cap
NTAP,"NetApp, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
NTCT,"NetScout Systems, Inc.",Information Technology,Software,Mid Cap
NTGR,"NETGEAR, Inc.",Information Technology,Communications Equipment,Small Cap
NTLA,"Intellia Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
NTNX,"Nutanix, Inc. Class A",Information Technology,Software,Large Cap
NTRA,"Natera, Inc.",Health Care,Biotechnology,Large Cap
NTSK,Netskope Inc. Class A Common Stock,Information Technology,Software,Mid Cap
NTUS,Natus Medical Incorporated,Health Care,Health Care Technology,Small Cap
NUE,Nucor Corporation,Materials,Metals & Mining,Large Cap
NUS,"Nu Skin Enterprises, Inc. Class A",Consumer Staples,Household Products,Small Cap
NUTX,Nutex Health Inc. Common Stock,Information Technology,Software,Small Cap
NUVB,Nuvation Bio Inc.,Health Care,Biotechnology,Mid Cap
NUVL,Nuvalent Inc. Class A Common Stock,Health Care,Biotechnology,Mid Cap
NVAX,"Novavax, Inc.",Health Care,Biotechnology,Small Cap
NVDA,NVIDIA Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Mega Cap
NVEC,NVE Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
NVR,"NVR, Inc.",Industrials,Construction & Engineering,Large Cap
NVRI,Enviri Corporation Common Stock,Industrials,Professional Services,Small Cap
NVST,Envista Holdings Corporation,Health Care,Health Care Equipment & Supplies,Mid Cap
NVTS,Navitas Semiconductor Corporation Common Stock,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
NWL,Newell Brands Inc.,Consumer Staples,Household Products,Small Cap
NWPX,"NWPX Infrastructure, Inc.",Industrials,Building Products,Small Cap
NWS,News Corporation,Communication Services,Media,Large Cap
NWSA,News Corporation,Communication Services,Media,Large Cap
NX,Quanex Building Products Corporation,Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
NXDR,Nextdoor Holdings Inc. Class A Common Stock,Communication Services,Diversified Telecommunication Services,Small Cap
