Date,AMD,ANET,AVGO,AXON,CCJ,CLS,COST,CRWD,DX-Y.NYB,GOOGL,HYG,IEF,IONQ,IWM,JNJ,KO,MCD,META,MNST,MSFT,NVDA,PEP,PG,PLTR,QQQ,RKLB,SMR,SPY,TSM,VRT,VST,WMT,^GSPC,^IRX,^VIX
2015-01-28,24786200.0,8492800.0,23302000.0,1477400.0,2264000.0,1082900.0,2016300.0,,0.0,35822000.0,5622400.0,3346300.0,,38086100.0,9053200.0,14278500.0,6921300.0,53306400.0,14294400.0,84507100.0,272728000.0,6280100.0,14033400.0,,43591700.0,,,168514300.0,16762900.0,,,17810400.0,4067530000.0,0.0,0.0
2015-01-29,17790200.0,10254400.0,15842000.0,1536800.0,2430000.0,717500.0,1873400.0,,0.0,79018000.0,4923200.0,1393400.0,,39299900.0,7569300.0,13657900.0,19146900.0,61293500.0,9273600.0,63585300.0,235340000.0,4600300.0,12054500.0,,46539700.0,,,173585400.0,19411300.0,,,19568400.0,4127140000.0,0.0,0.0
2015-01-30,12908200.0,7308800.0,16938000.0,1231100.0,2412000.0,554900.0,5169000.0,,0.0,121108000.0,6383000.0,2219800.0,,49739800.0,10676300.0,19193700.0,12385400.0,42649500.0,12264000.0,78004900.0,298200000.0,7741500.0,14685300.0,,42927600.0,,,197729700.0,17590300.0,,,30840600.0,4568650000.0,0.0,0.0
2015-02-02,25688700.0,6596800.0,21581000.0,1478800.0,3247500.0,832100.0,4797500.0,,0.0,75378000.0,4120600.0,11544700.0,,44819100.0,8990700.0,15197500.0,6751400.0,41955300.0,10773600.0,50352500.0,259604000.0,6889500.0,10278700.0,,43624700.0,,,163107000.0,12854500.0,,,20781600.0,4008330000.0,0.0,0.0
2015-02-03,22592300.0,3865600.0,15390000.0,2326900.0,3146400.0,605500.0,10302900.0,,0.0,47062000.0,11682400.0,1465200.0,,43920000.0,10005200.0,13193100.0,7373000.0,26957700.0,12416400.0,52082400.0,183468000.0,5090400.0,10747900.0,,30750400.0,,,124212900.0,16676200.0,,,24850500.0,4615900000.0,0.0,0.0
2015-02-04,34829300.0,10571200.0,16658000.0,1327700.0,2302300.0,1149200.0,11006300.0,,0.0,33896000.0,8333900.0,1655500.0,,28597100.0,9514100.0,16400000.0,6464800.0,20277400.0,10888800.0,41614800.0,181516000.0,5064700.0,9212800.0,,34073200.0,,,134306700.0,11266500.0,,,26796900.0,4141920000.0,0.0,0.0
2015-02-05,73355600.0,4009600.0,16585000.0,1166600.0,2350000.0,820200.0,6986700.0,,0.0,33176000.0,10172500.0,1392700.0,,32337100.0,6642200.0,11078500.0,5564100.0,15062600.0,7984800.0,36548200.0,140448000.0,4466200.0,6531300.0,,23605500.0,,,97953200.0,12016600.0,,,15272400.0,3821990000.0,0.0,0.0
2015-02-06,38300000.0,13984000.0,10682000.0,1024800.0,2685800.0,646900.0,2927400.0,,0.0,42938000.0,6076700.0,2016700.0,,31694900.0,9215700.0,12366400.0,4662700.0,21211000.0,6153600.0,34616600.0,210524000.0,4629200.0,8429800.0,,34169300.0,,,125672000.0,16529800.0,,,16852800.0,4232970000.0,0.0,0.0
2015-02-09,24133800.0,9756800.0,20346000.0,770100.0,3772700.0,491100.0,2740200.0,,0.0,30314000.0,4672800.0,1599900.0,,32367900.0,9851700.0,13371100.0,8203000.0,16194300.0,7965600.0,31381100.0,273944000.0,4217100.0,8811500.0,,22604700.0,,,87219000.0,12821100.0,,,16368600.0,3549540000.0,0.0,0.0
2015-02-10,13995100.0,19624000.0,20398000.0,743300.0,2477600.0,446400.0,1703400.0,,0.0,47430000.0,6846600.0,1244500.0,,28960800.0,12275500.0,32184200.0,4697600.0,15811300.0,6132000.0,29670700.0,226204000.0,6797400.0,7059300.0,,23686500.0,,,96164200.0,17077300.0,,,17196300.0,3669850000.0,0.0,0.0
2015-02-11,11741100.0,5456000.0,17169000.0,959600.0,2402000.0,204700.0,2295800.0,,0.0,38306000.0,5688000.0,1286100.0,,23794200.0,8177000.0,20496300.0,5153900.0,20877400.0,7935600.0,38262500.0,320832000.0,9736400.0,7184600.0,,20303600.0,,,91087800.0,14211100.0,,,17559300.0,3596860000.0,0.0,0.0
2015-02-12,12975000.0,6348800.0,21072000.0,1355600.0,2549100.0,173400.0,1712200.0,,0.0,48590000.0,3185400.0,1845200.0,,27854600.0,25835200.0,13818200.0,7910100.0,17235000.0,7093200.0,33268800.0,676904000.0,9062300.0,6074600.0,,22520300.0,,,97545900.0,10136200.0,,,20824800.0,3788350000.0,0.0,0.0
2015-02-13,9627600.0,5113600.0,14614000.0,1173100.0,1494500.0,179000.0,1926800.0,,0.0,47382000.0,4676600.0,1302400.0,,20446900.0,11153600.0,10792100.0,6762200.0,18621900.0,9644400.0,40264900.0,310084000.0,5643000.0,6272000.0,,29030200.0,,,93670400.0,11637500.0,,,16791000.0,3527450000.0,0.0,0.0
2015-02-17,8678100.0,3665600.0,15312000.0,757400.0,2112300.0,126900.0,1541500.0,,0.0,39174000.0,6624200.0,2170100.0,,16868500.0,8627100.0,12804200.0,5972000.0,25254400.0,6180000.0,33695700.0,203340000.0,5877800.0,10310400.0,,17675300.0,,,76968200.0,10525500.0,,,15261600.0,3361750000.0,0.0,0.0
2015-02-18,7286100.0,5804800.0,16681000.0,848700.0,951900.0,131900.0,1541000.0,,0.0,31164000.0,4744400.0,8204600.0,,20450200.0,7878200.0,9789800.0,5617500.0,22426400.0,6793200.0,27111700.0,170948000.0,3472500.0,8132300.0,,15149600.0,,,80652900.0,7433100.0,,,18098100.0,3370020000.0,0.0,0.0
2015-02-19,6573600.0,18987200.0,13196000.0,981000.0,842600.0,139900.0,1273700.0,,0.0,30834000.0,2964800.0,1459500.0,,16620500.0,10028200.0,16578300.0,6312200.0,45851200.0,7034400.0,27603400.0,169432000.0,4186300.0,7271600.0,,19828100.0,,,91462500.0,9929400.0,,,55940400.0,3247100000.0,0.0,0.0
